symbol() 95d89b41
balanceOf(address) 70a08231
transfer(address,uint256) a9059cbb
allowance(address,address) dd62ed3e
approve(address,uint256) 095ea7b3
transferFrom(address,address,uint256) 23b872dd
totalSupply() 18160ddd
approve(address,uint256) 095ea7b3
getApproved(uint256) 081812fc
safeTransferFrom(address,address,uint256,bytes) b88d4fde
supportsInterface(bytes4) 01ffc9a7
balanceOf(address) 70a08231
isApprovedForAll(address,address) e985e9c5
ownerOf(uint256) 6352211e
safeTransferFrom(address,address,uint256) 42842e0e
setApprovalForAll(address,bool) a22cb465
transferFrom(address,address,uint256) 23b872dd
supportsInterface(bytes4) 01ffc9a7
balanceOf(address,uint256) 00fdd58e
balanceOfBatch(address[],uint256[]) 4e1273f4
isApprovedForAll(address,address) e985e9c5
safeBatchTransferFrom(address,address,uint256[],uint256[],bytes) 2eb2c2d6
safeTransferFrom(address,address,uint256,uint256,bytes) f242432a
setApprovalForAll(address,bool) a22cb465
Mint(address,uint256) 0f6798a5
SetMinter(address,bool) 1f96bc65
SetGateway(address,bool) bae69e1c
Approve(address,uint256) 90ec57f1
TransferFrom(address,address,uint256) c0d84ce5
Symbol() 3045aaf3
IsMinter(address) fd48d465
CollectedFee() f3f3cad4
Allowance(address,address) 6dcdd00f
BalanceOf(address) d9967889
SubCollectedFee(uint256) 652c2d4a
MintBatch(address[],uint256[]) 64ad714e
SetRouter(address,address[]) a5686ae0
Name() 8052474d
TotalSupply() a44b47f7
Decimals() c6ceb50b
Transfer(address,uint256) 69ca02dd
Burn(uint256) b90306ad
TokenInRevert(string,string,address,uint256) 484bc776
SwapToMainToken(uint256) c8aef638
approve(address,address) 7e5465ba
registerSales(address,uint256) a8f88f00
setURI(string) 02fe5305
ownerOf(address) 14afd79e
getApproved(address) 3dddc9ea
name() 06fdde03
formulator(address) 3f98a4cc
supportsInterface(bytes32) f1753550
createAlpha() 3bd7ec54
revoke(address) 74a8f103
revokeBatch(address[]) 055e3e5e
buyFormulator(address) 85b0a5a7
createGenesisOmega(address) 220c3eb0
createSigma(address[]) eb13c97e
unstake(address,uint256) c2a672e0
tokenURI(uint256) c87b56dd
createOmega(address[]) d0be0676
stakingAmount(address,address) bba2e7b4
stakingAmountMap(address,address) 1e3835f8
decimals() 313ce567
uri(uint256) 0e89341c
tokenOfOwnerByIndex(address,uint256) 2f745c59
createGenesisAlpha(address) 0dadcf0d
createAlphaBatch(uint256) 0396df23
stake(address,uint256) adc9772e
balanceOf(address) 70a08231
addGenesisStakingAmount(address,address,uint256) b75a783e
transferFrom(address,address,address) 056e31c1
totalSupply() 18160ddd
tokenByIndex(uint256) 4f6ccce7
createGenesisSigma(address) ba904bb3
cancelSales(address) f05f477e
CreatePairStable(address,address,address,string,string,address,address,uint256,uint256,uint256,uint256,uint256) 802c55a4
SetOwner(address) 167d3e9c
Owner() b4a99a4e
GetPair(address,address) 80141b1e
AllPairs() 3aa3c5db
AllPairsLength() 21e7c3bc
CreatePairUni(address,address,address,string,string,address,address,uint256,uint256,uint256,uint256) b363a9ac
UniGetLPTokenAmount(address,address,uint256,uint256) c15ddc2d
UniGetWithdrawAmount(address,address,uint256) fc0fea19
UniGetWithdrawAmountOneCoin(address,address,uint256,address) 556d050f
UniAddLiquidity(address,address,uint256,uint256,uint256,uint256) fc918843
UniAddLiquidityOneCoin(address,address,address,uint256,uint256) b800b430
UniRemoveLiquidity(address,address,uint256,uint256,uint256) 631ae1dd
UniRemoveLiquidityOneCoin(address,address,uint256,address,uint256) 7788c7d5
SwapExactTokensForTokens(uint256,uint256,address[]) e0794d3f
UniSwapTokensForExactTokens(uint256,uint256,address[]) 50d0eac0
Factory() c83dd231
GetAmountsOut(uint256,address[]) 9dcd5408
UniGetAmountsIn(uint256,address[]) c293041c
UniGetLPTokenAmountOneCoin(address,address,address,uint256) a7ef1603
transferFeeOwnership(address) 2f6f30f4
reclaimToken(address,uint256) 61ce3529
meverseToken() 38c88f71
transferFeeInfoToChain(string) cc13a2f2
sendToGateway(address,uint256,address[],string,bytes32) cb189fca
setTransferFeeInfo(string,uint256) 96dc73a5
setTokenFeeInfo(string,uint256) d3a6dc00
transferBankOwnership(address) 681e3356
stringToBytes32(string) cfb51928
changeMeverseAddress(address) ed7f1800
getSequenceFrom(address,string) 9e5eb742
getSequenceTo(address,string) da34963e
balanceOfToGateway(address,address) 193445ea
bank() 76cdb03b
feeOwner() b9818be1
tokenFeeInfoFromChain(string) dd42e72d
allowanceTokenFromGateway(address,address) 2d35db32
sendFromGateway(address,address,uint256,address[],string,bytes32) bccac79d
Tokens() 0cf283b1
Symbol() 3045aaf3
FutureWinner() 8b6c8f80
PayTokenIndex() af0505ae
Token0() f0fe082a
Token1() 96a8797e
Swap(uint256,uint256,address,bytes32) a45fa813
Winner() b2b98ed2
Factory() c83dd231
FutureWinnerFee() b8dfdf05
IsKilled() dab7b4cc
Mint(address) 3c3284d1
Allowance(address,address) 6dcdd00f
WinnerFee() 98f639b9
Reserve0() a000f4ca
KillMe() c16ac934
Decimals() c6ceb50b
KLast() f3a7a0ef
Approve(address,uint256) 90ec57f1
NTokens() 094cbb80
ApplyNewFee() 3c617986
GetMintAdminFee(uint256,uint256) b4a49c84
BalanceOf(address) d9967889
PayToken() f60f49bb
BlockTimestampLast() e19a1f80
RevertTransferOwnerWinner() 42404f98
Skim(address) 7460d221
Reserves() 48cb2eb7
Price0CumulativeLast() a54ce1df
TotalSupply() a44b47f7
AdminActionsDeadline() 63da843d
UnkillMe() 00bb0d94
Burn(address) e22de145
Transfer(address,uint256) 69ca02dd
IncreaseAllowance(address,uint256) 1963a693
Owner() b4a99a4e
CommitNewFee(uint256,uint256,uint256,uint256) e347cde0
ApplyTransferOwnerWinner() 6306eb8c
MintedAdminBalance() 7a49ed1f
Name() 8052474d
ExType() 8e3ca87a
TransferOwnerWinnerDeadline() 057ceb06
Price1CumulativeLast() ab18e745
TransferFrom(address,address,uint256) c0d84ce5
Fee() bef7a2f0
FutureAdminFee() 7fedf1c5
CommitTransferOwnerWinner(address,address,uint256) ffdda352
DecreaseAllowance(address,uint256) 0e7f2be7
Sync() da35e06c
Reserve1() 153a6ef6
AdminBalance() dbf8c4aa
RevertNewFee() f557b457
WithdrawAdminFees() a1798db3
FutureOwner() 267502ea
FutureFee() d731c80c
AdminFee() ed802ee0
DonateAdminFees() 2c720358
ExType() 8e3ca87a
Symbol() 3045aaf3
RevertTransferOwnerWinner() 42404f98
Exchange(uint256,uint256,uint256,uint256,address) 6c46aab1
Fee() bef7a2f0
FutureAdminFee() 7fedf1c5
WhiteListDeadline() 68bfabae
TokenIndex(address) dfcc3f66
CalcLPTokenAmount(uint256[],bool) 6df9bf8d
WithdrawAdminFees() a1798db3
FutureATime() fd7979c1
IncreaseAllowance(address,uint256) 1963a693
StopRampA() f0d54b4a
RampA(uint256,uint256) 7906a8ec
TransferOwnerWinnerDeadline() 057ceb06
Reserves() 48cb2eb7
InitialATime() 09b4dbec
AddLiquidity(uint256[],uint256) 445e97e0
RemoveLiquidity(uint256,uint256[]) 9993ad19
Decimals() c6ceb50b
BalanceOf(address) d9967889
AdminBalances(uint256) eac61704
ApplyNewFee() 3c617986
CommitNewWhiteList(address,bytes32,uint256) f8bd41ee
Owner() b4a99a4e
AdminActionsDeadline() 63da843d
IsKilled() dab7b4cc
